title,price,specification,image_link
Hp Notebook 15 - FQ5096tu :1y UG,"Rs 134,500.00","Intel Core i3 12th Gen 3.3 / 4.4 Ghz, 15.6"" Screen, 12 GB RAM, 256 GB SSD, Intel Integrated Graphics, No Optical Drive, Windows 11 Home, 3.85 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Lenovo V15-IIL,"Rs 149,500.00","Intel Core i5 10th Gen 1.0 / 3.6 Ghz, 15.6"" Screen, 4 GB RAM, 256 GB SSD, Intel Integrated Graphics, No Optical Drive, Windows 10 Professional, 4.08 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Hp Notebook 15 - FD0109tu : 1y,"Rs 152,500.00","Intel Core i3 Latest Gen15.6"" Screen, 8 GB RAM, 512 GB SSD, Intel Integrated Graphics, No Optical Drive, Windows 11 Home, 3.50 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Lenovo Ideapad 3 - 15IAU7,"Rs 154,500.00","Intel Core i5 12th Gen 3.3 / 4.4 Ghz, 15.6"" Screen, 8 GB RAM, 256 GB SSD, Intel Integrated Graphics, No Optical Drive, DOS, 3.59 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Lenovo IdeaPad Slim 3 - 15IRH8,"Rs 169,500.00","Intel Core i5 13th Gen 3.4 / 4.6 Ghz, 15.6"" Screen, 8 GB RAM, 512 GB SSD, Intel Integrated Graphics, No Optical Drive, DOS, 3.57 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Lenovo ThinkBook - 14 G2 i5,"Rs 169,500.00","Intel Core i5 11th Gen 2.4 / 4.2 Ghz, 14"" Screen, 8 GB RAM, 256 GB SSD, Fingerprint, Intel Integrated Graphics, No Optical Drive, DOS, 3.1lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
HP Notebook 15 - 250 G9 UG,"Rs 169,900.00","Intel Core i5 12th Gen 3.3 / 4.4 Ghz, 15.6"" Screen, 12 GB RAM, 512 GB SSD, Intel Integrated Graphics, No Optical Drive, DOS, 3.83 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Lenovo ThinkBook 15 - G2 i5,"Rs 172,500.00","Intel Core i5 11th Gen 2.4 / 4.2 Ghz, 15.6"" Screen, 4 GB RAM, 256 GB SSD, Fingerprint, Intel Integrated Graphics, No Optical Drive, DOS, 3.75 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Lenovo Ideapad 5 - 15ITL05,"Rs 174,500.00","Intel Core i5 11th Gen 2.4 / 4.2 Ghz, 15.6"" Screen, 8 GB RAM, 512 GB SSD, Fingerprint, Backlit, Intel Integrated Graphics, No Optical Drive, DOS, 3.66 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Microsoft  Surface Go 3 - 128GB,"Rs 176,500.00","Microsoft Latest Gen10.5"" Screen, 8 GB RAM, 128 GB SSD, TouchScreen, Intel Integrated Graphics, No Optical Drive, Windows 11 Home, 1.22 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Hp Notebook 15 - FQ5098tu :1y,"Rs 184,500.00","Intel Core i5 12th Gen 3.3 / 4.4 Ghz, 15.6"" Screen, 8 GB RAM, 512 GB SSD, Intel Integrated Graphics, No Optical Drive, Windows 11 Home, 3.85 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
HP Notebook 15 - 250 G9 i5 : 1y,"Rs 186,500.00","Intel Core i5 12th Gen 3.3 / 4.4 Ghz, 15.6"" Screen, 8 GB RAM, 512 GB SSD, Fingerprint, Backlit, Intel Integrated Graphics, No Optical Drive, DOS, 3.83 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
HP Notebook 15 - EQ2180au :1y,"Rs 189,500.00","AMD Ryzen 5 Latest Gen 2.1 / 4.0 Ghz, 15.6"" Screen, 8 GB RAM, 512 GB SSD, AMD / ATI  Graphics, No Optical Drive, Windows 11 Home, 3.24 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Lenovo Ideapad - L3 15ITL6 :1y,"Rs 194,500.00","Intel Core i7 11th Gen 2.8 / 4.7 Ghz, 15.6"" Screen, 8 GB RAM, 1 TB HDD + 256GB SSD, Intel Integrated Graphics, Multiformat DVD Writer, DOS, 4.85 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Lenovo Ideapad 3 - 15IAU7,"Rs 199,500.00","Intel Core i7 12th Gen 3.5 / 4.7 Ghz, 15.6"" Screen, 8 GB RAM, 512 GB SSD, Intel Integrated Graphics, No Optical Drive, DOS, 3.59 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Hp Pavilion 15 - EG0503tx :1y,"Rs 199,500.00","Intel Core i5 11th Gen 2.4 / 4.2 Ghz, 15.6"" Screen, 8 GB RAM, 512 GB SSD, Fingerprint, Backlit, nVidia Graphics (2 GB Dedicated), No Optical Drive, Windows 10 Home, 3.85 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
MSi Thin GF63 - 11SC Gaming Laptop,"Rs 199,500.00","Intel Core i5 11th Gen 2.7 / 4.5 Ghz, 15.6"" Screen, 8 GB RAM, 512 GB SSD, nVidia Graphics (4 GB Dedicated), No Optical Drive, DOS, 4.10 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Hp Notebook 15 - FC0100au : 1y,"Rs 199,500.00","AMD Ryzen 5 Latest Gen15.6"" Screen, 8 GB RAM, 512 GB SSD, AMD / ATI  Graphics, No Optical Drive, Windows 11 Home, 3.50 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Hp Notebook 15 - FQ5099tu :1y,"Rs 222,500.00","Intel Core i7 12th Gen 3.5 / 4.7 Ghz, 15.6"" Screen, 8 GB RAM, 512 GB SSD, Backlit, Intel Integrated Graphics, No Optical Drive, Windows 11 Home, 3.85 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
Hp Probook - 450 G9 i5,"Rs 219,500.00","Intel Core i5 12th Gen 3.3 / 4.4 Ghz, 15.6"" Screen, 8 GB RAM, 512 GB SSD, Backlit, Intel Integrated Graphics, No Optical Drive, DOS, 3.83 lbs","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII="
